GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BHI001
GIS Join match code,Datafile year,State Name,State Code,County Name,County Code,Census Tract Prefix Code,Census Tract Code,Census Tract Suffix Code,Area name,Total
G17003100118,1930,Illinois,17,Cook,031,"",0118,"",Tract    0118     in Chicago IL,2805
G17003100119,1930,Illinois,17,Cook,031,"",0119,"",Tract    0119     in Chicago IL,6795
G17003100120,1930,Illinois,17,Cook,031,"",0120,"",Tract    0120     in Chicago IL,275
G17003100121,1930,Illinois,17,Cook,031,"",0121,"",Tract    0121     in Chicago IL,5418
G17003100122,1930,Illinois,17,Cook,031,"",0122,"",Tract    0122     in Chicago IL,6317
G17003100123,1930,Illinois,17,Cook,031,"",0123,"",Tract    0123     in Chicago IL,6516
G17003100124,1930,Illinois,17,Cook,031,"",0124,"",Tract    0124     in Chicago IL,7291
G17003100125,1930,Illinois,17,Cook,031,"",0125,"",Tract    0125     in Chicago IL,4055
G17003100126,1930,Illinois,17,Cook,031,"",0126,"",Tract    0126     in Chicago IL,790
G17003100127,1930,Illinois,17,Cook,031,"",0127,"",Tract    0127     in Chicago IL,6656
G17003100128,1930,Illinois,17,Cook,031,"",0128,"",Tract    0128     in Chicago IL,2522
G17003100129,1930,Illinois,17,Cook,031,"",0129,"",Tract    0129     in Chicago IL,6901
G17003100130,1930,Illinois,17,Cook,031,"",0130,"",Tract    0130     in Chicago IL,3286
G17003100131,1930,Illinois,17,Cook,031,"",0131,"",Tract    0131     in Chicago IL,5725
G17003100132,1930,Illinois,17,Cook,031,"",0132,"",Tract    0132     in Chicago IL,7307
G17003100133,1930,Illinois,17,Cook,031,"",0133,"",Tract    0133     in Chicago IL,2957
G17003100134,1930,Illinois,17,Cook,031,"",0134,"",Tract    0134     in Chicago IL,2490
G17003100135,1930,Illinois,17,Cook,031,"",0135,"",Tract    0135     in Chicago IL,5039
G17003100136,1930,Illinois,17,Cook,031,"",0136,"",Tract    0136     in Chicago IL,3117
G17003100137,1930,Illinois,17,Cook,031,"",0137,"",Tract    0137     in Chicago IL,2892
G17003100138,1930,Illinois,17,Cook,031,"",0138,"",Tract    0138     in Chicago IL,64
G17003100139,1930,Illinois,17,Cook,031,"",0139,"",Tract    0139     in Chicago IL,4568
G17003100140,1930,Illinois,17,Cook,031,"",0140,"",Tract    0140     in Chicago IL,738
G17003100141,1930,Illinois,17,Cook,031,"",0141,"",Tract    0141     in Chicago IL,143
G17003100142,1930,Illinois,17,Cook,031,"",0142,"",Tract    0142     in Chicago IL,735
G17003100143,1930,Illinois,17,Cook,031,"",0143,"",Tract    0143     in Chicago IL,3507
G17003100144,1930,Illinois,17,Cook,031,"",0144,"",Tract    0144     in Chicago IL,4855
G17003100145,1930,Illinois,17,Cook,031,"",0145,"",Tract    0145     in Chicago IL,1756
G17003100146,1930,Illinois,17,Cook,031,"",0146,"",Tract    0146     in Chicago IL,3412
G17003100147,1930,Illinois,17,Cook,031,"",0147,"",Tract    0147     in Chicago IL,2363
G17003100148,1930,Illinois,17,Cook,031,"",0148,"",Tract    0148     in Chicago IL,2324
G17003100149,1930,Illinois,17,Cook,031,"",0149,"",Tract    0149     in Chicago IL,2944
G17003100150,1930,Illinois,17,Cook,031,"",0150,"",Tract    0150     in Chicago IL,8854
G17003100151,1930,Illinois,17,Cook,031,"",0151,"",Tract    0151     in Chicago IL,4047
G17003100152,1930,Illinois,17,Cook,031,"",0152,"",Tract    0152     in Chicago IL,423
G17003100153,1930,Illinois,17,Cook,031,"",0153,"",Tract    0153     in Chicago IL,2499
G17003100154,1930,Illinois,17,Cook,031,"",0154,"",Tract    0154     in Chicago IL,374
G17003100155,1930,Illinois,17,Cook,031,"",0155,"",Tract    0155     in Chicago IL,769
G17003100156,1930,Illinois,17,Cook,031,"",0156,"",Tract    0156     in Chicago IL,902
G17003100157,1930,Illinois,17,Cook,031,"",0157,"",Tract    0157     in Chicago IL,6117
G17003100158,1930,Illinois,17,Cook,031,"",0158,"",Tract    0158     in Chicago IL,257
G17003100159,1930,Illinois,17,Cook,031,"",0159,"",Tract    0159     in Chicago IL,3776
G17003100160,1930,Illinois,17,Cook,031,"",0160,"",Tract    0160     in Chicago IL,7011
G17003100161,1930,Illinois,17,Cook,031,"",0161,"",Tract    0161     in Chicago IL,4034
G17003100162,1930,Illinois,17,Cook,031,"",0162,"",Tract    0162     in Chicago IL,8880
G17003100163,1930,Illinois,17,Cook,031,"",0163,"",Tract    0163     in Chicago IL,9393
G17003100164,1930,Illinois,17,Cook,031,"",0164,"",Tract    0164     in Chicago IL,8054
G17003100165,1930,Illinois,17,Cook,031,"",0165,"",Tract    0165     in Chicago IL,7204
G17003100166,1930,Illinois,17,Cook,031,"",0166,"",Tract    0166     in Chicago IL,6543
G17003100167,1930,Illinois,17,Cook,031,"",0167,"",Tract    0167     in Chicago IL,4458
G17003100168,1930,Illinois,17,Cook,031,"",0168,"",Tract    0168     in Chicago IL,5670
G17003100169,1930,Illinois,17,Cook,031,"",0169,"",Tract    0169     in Chicago IL,7798
G17003100170,1930,Illinois,17,Cook,031,"",0170,"",Tract    0170     in Chicago IL,7795
G17003100171,1930,Illinois,17,Cook,031,"",0171,"",Tract    0171     in Chicago IL,4280
G17003100172,1930,Illinois,17,Cook,031,"",0172,"",Tract    0172     in Chicago IL,5095
G17003100173,1930,Illinois,17,Cook,031,"",0173,"",Tract    0173     in Chicago IL,5824
G17003100174,1930,Illinois,17,Cook,031,"",0174,"",Tract    0174     in Chicago IL,9705
G17003100175,1930,Illinois,17,Cook,031,"",0175,"",Tract    0175     in Chicago IL,859
G17003100176,1930,Illinois,17,Cook,031,"",0176,"",Tract    0176     in Chicago IL,2057
G17003100177,1930,Illinois,17,Cook,031,"",0177,"",Tract    0177     in Chicago IL,3089
G17003100178,1930,Illinois,17,Cook,031,"",0178,"",Tract    0178     in Chicago IL,4542
G17003100179,1930,Illinois,17,Cook,031,"",0179,"",Tract    0179     in Chicago IL,7489
G17003100180,1930,Illinois,17,Cook,031,"",0180,"",Tract    0180     in Chicago IL,5050
G17003100181,1930,Illinois,17,Cook,031,"",0181,"",Tract    0181     in Chicago IL,3787
G17003100182,1930,Illinois,17,Cook,031,"",0182,"",Tract    0182     in Chicago IL,2379
G17003100183,1930,Illinois,17,Cook,031,"",0183,"",Tract    0183     in Chicago IL,3901
G17003100184,1930,Illinois,17,Cook,031,"",0184,"",Tract    0184     in Chicago IL,2819
G17003100185,1930,Illinois,17,Cook,031,"",0185,"",Tract    0185     in Chicago IL,4359
G17003100186,1930,Illinois,17,Cook,031,"",0186,"",Tract    0186     in Chicago IL,6583
G17003100187,1930,Illinois,17,Cook,031,"",0187,"",Tract    0187     in Chicago IL,6898
G17003100188,1930,Illinois,17,Cook,031,"",0188,"",Tract    0188     in Chicago IL,6030
G17003100189,1930,Illinois,17,Cook,031,"",0189,"",Tract    0189     in Chicago IL,8622
G17003100190,1930,Illinois,17,Cook,031,"",0190,"",Tract    0190     in Chicago IL,8341
G17003100191,1930,Illinois,17,Cook,031,"",0191,"",Tract    0191     in Chicago IL,2603
G17003100192,1930,Illinois,17,Cook,031,"",0192,"",Tract    0192     in Chicago IL,5411
G17003100193,1930,Illinois,17,Cook,031,"",0193,"",Tract    0193     in Chicago IL,940
G17003100194,1930,Illinois,17,Cook,031,"",0194,"",Tract    0194     in Chicago IL,1882
G17003100195,1930,Illinois,17,Cook,031,"",0195,"",Tract    0195     in Chicago IL,516
G17003100196,1930,Illinois,17,Cook,031,"",0196,"",Tract    0196     in Chicago IL,1000
G17003100197,1930,Illinois,17,Cook,031,"",0197,"",Tract    0197     in Chicago IL,1685
G17003100198,1930,Illinois,17,Cook,031,"",0198,"",Tract    0198     in Chicago IL,748
G17003100199,1930,Illinois,17,Cook,031,"",0199,"",Tract    0199     in Chicago IL,3432
G17003100200,1930,Illinois,17,Cook,031,"",0200,"",Tract    0200     in Chicago IL,3877
G17003100201,1930,Illinois,17,Cook,031,"",0201,"",Tract    0201     in Chicago IL,2620
G17003100202,1930,Illinois,17,Cook,031,"",0202,"",Tract    0202     in Chicago IL,2959
G17003100203,1930,Illinois,17,Cook,031,"",0203,"",Tract    0203     in Chicago IL,2866
G17003100204,1930,Illinois,17,Cook,031,"",0204,"",Tract    0204     in Chicago IL,4764
G17003100205,1930,Illinois,17,Cook,031,"",0205,"",Tract    0205     in Chicago IL,870
G17003100206,1930,Illinois,17,Cook,031,"",0206,"",Tract    0206     in Chicago IL,978
